State_Name,District_Name,Crop_Year,Season,Crop,Area,Unit,Value,Domain,Unit,Value,average_rain_fall_mm_per_year,hg/ha_yield,pesticides_tonnes,avg_temp,humidity,ph
Karnataka,BAGALKOT,1998,Kharif     ,Arhar/Tur,6154,hg/ha,165417,Pesticides Use,tonnes of active ingredients,196,1834,25198,118930.56,28.76,82.00274423,6.502985292
Karnataka,BAGALKOT,1998,Kharif     ,Bajra,48855,hg/ha,171667,Pesticides Use,tonnes of active ingredients,48.07,1834,25198,118930.56,20.71,80.31964408,7.038096361
Karnataka,BAGALKOT,1998,Kharif     ,Castor seed,71,hg/ha,317000,Pesticides Use,tonnes of active ingredients,48.07,1834,25198,118930.56,27.54,82.3207629,7.840207144
Karnataka,BAGALKOT,1998,Kharif     ,Cotton(lint),15225,hg/ha,207903,Pesticides Use,tonnes of active ingredients,36,1834,25198,118930.56,18.49,80.15836264,6.980400905
Karnataka,BAGALKOT,1998,Kharif     ,Groundnut,16368,hg/ha,187500,Pesticides Use,tonnes of active ingredients,23.53,1834,25198,118930.56,26.63,81.60487287,7.628472891
Karnataka,BAGALKOT,1998,Kharif     ,Horse-gram,3372,hg/ha,179200,Pesticides Use,tonnes of active ingredients,48.27,1834,25198,118930.56,24.78,83.37011772,7.073453503
Karnataka,BAGALKOT,1998,Kharif     ,Jowar,12363,hg/ha,191918,Pesticides Use,tonnes of active ingredients,44.18,1834,25198,118930.56,26.08,82.63941394,5.70080568
Karnataka,BAGALKOT,1998,Kharif     ,Maize,30630,hg/ha,198640,Pesticides Use,tonnes of active ingredients,23.66,1834,17768,118930.56,22.35,82.89408619,5.718627178
Karnataka,BAGALKOT,1998,Kharif     ,Moong(Green Gram),13872,hg/ha,199981,Pesticides Use,tonnes of active ingredients,29.78,641,17768,118930.56,20.71,83.5352163,6.685346424
Karnataka,BAGALKOT,1998,Kharif     ,Niger seed,310,hg/ha,200668,Pesticides Use,tonnes of active ingredients,12.05,641,17768,118930.56,18.2,83.03322691,6.336253525
Karnataka,BAGALKOT,1998,Kharif     ,Onion,3090,hg/ha,201355,Pesticides Use,tonnes of active ingredients,10.02,641,17768,118930.56,18.2,81.41753846,5.386167788
Karnataka,BAGALKOT,1998,Kharif     ,Rapeseed &Mustard,51,hg/ha,202043,Pesticides Use,tonnes of active ingredients,6.77,641,17768,118930.56,28.76,81.45061596,7.50283396
Karnataka,BAGALKOT,1998,Kharif     ,Rice,197,hg/ha,202730,Pesticides Use,tonnes of active ingredients,6.77,641,17768,118930.56,20.71,80.88684822,5.108681786
Karnataka,BAGALKOT,1998,Kharif     ,Sesamum,2395,hg/ha,203417,Pesticides Use,tonnes of active ingredients,6.77,641,17768,118930.56,27.54,82.05687182,6.98435366
Karnataka,BAGALKOT,1998,Kharif     ,Soyabean,5221,hg/ha,204104,Pesticides Use,tonnes of active ingredients,6.77,641,17768,118930.56,18.49,80.66385045,6.94801983
Karnataka,BAGALKOT,1998,Kharif     ,Sunflower,36785,hg/ha,18842,Pesticides Use,tonnes of active ingredients,6.77,641,17768,118930.56,26.63,80.30025587,7.042299069
Karnataka,BAGALKOT,1998,Rabi       ,Gram,17835,hg/ha,25112,Pesticides Use,tonnes of active ingredients,6.77,641,17768,118930.56,24.78,82.7883708,6.249050656
Karnataka,BAGALKOT,1998,Rabi       ,Groundnut,15849,hg/ha,18830,Pesticides Use,tonnes of active ingredients,6.77,641,17768,118930.56,26.08,80.41817957,6.970859754
Karnataka,BAGALKOT,1998,Rabi       ,Horse-gram,2098,hg/ha,17887,Pesticides Use,tonnes of active ingredients,6.77,641,23533,118930.56,22.35,80.1923008,5.953933276
Karnataka,BAGALKOT,1998,Rabi       ,Jowar,152540,hg/ha,18667,Pesticides Use,tonnes of active ingredients,6.77,641,23533,118930.56,20.71,83.58760316,5.85393208
Karnataka,BAGALKOT,1998,Rabi       ,Linseed,4667,hg/ha,20750,Pesticides Use,tonnes of active ingredients,6.77,641,23533,118930.56,18.2,80.47476396,6.442475375
Karnataka,BAGALKOT,1998,Rabi       ,Maize,10520,hg/ha,23256,Pesticides Use,tonnes of active ingredients,6.77,641,23533,118930.56,18.2,83.11713476,5.070175667
Karnataka,BAGALKOT,1998,Rabi       ,Onion,1226,hg/ha,23754,Pesticides Use,tonnes of active ingredients,6.77,641,23533,118930.56,28.76,80.97384195,6.012632591
Karnataka,BAGALKOT,1998,Rabi       ,Safflower,4590,hg/ha,24027,Pesticides Use,tonnes of active ingredients,6.77,641,23533,118930.56,20.71,82.67839517,6.254028451
